"id","nombre","idprovincia"
"965","Huaycama","2"
"966","Huillapima","2"
"967","Icaño","2"
"968","Infanzon","2"
"969","Jacipunco","2"
"970","Joyango","2"
"971","La Aguada","2"
"972","La Bajada","2"
"973","La Candelaria","2"
"974","La Carrera","2"
"975","La Dorada","2"
"976","La Falda De San Antonio","2"
"977","La Guardia","2"
"978","La Higuera","2"
"979","La Hoyada","2"
"980","La Loma","2"
"981","La Majada","2"
"982","La Merced","2"
"983","La Mesada","2"
"984","La Puerta","2"
"985","La Puntilla","2"
"986","La Puntilla","2"
"987","La Puntilla","2"
"988","La Ramadita","2"
"989","La Tercena","2"
"990","La Viña","2"
"991","Lampacito","2"
"992","Las Cañas","2"
"993","Las Chacritas","2"
"994","Las Esquinas","2"
"995","Las Juntas","2"
"996","Las Juntas","2"
"997","Las Lajas","2"
"998","Las Mojarras","2"
"999","Las Palmitas","2"
"1000","Las Tejas","2"
